Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,<1000 [<500 - 2400]
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,1000 [<100 - 6100]
Angola,6000 [3000 - 14 000],7200 [3600 - 16 000],8600 [4500 - 17 000],10 000 [5400 - 19 000],12 000 [6500 - 20 000],13 000 [7800 - 22 000],15 000 [9200 - 23 000],17 000 [11 000 - 25 000],18 000 [12 000 - 27 000],19 000 [13 000 - 27 000],20 000 [14 000 - 28 000],22 000 [16 000 - 30 000],23 000 [16 000 - 32 000],24 000 [17 000 - 33 000],25 000 [18 000 - 34 000],26 000 [18 000 - 35 000],26 000 [18 000 - 36 000],27 000 [19 000 - 37 000],28 000 [19 000 - 38 000],28 000 [19 000 - 39 000],28 000 [19 000 - 40 000],29 000 [19 000 - 41 000],29 000 [19 000 - 41 000],27 000 [18 000 - 40 000],26 000 [17 000 - 39 000]
Argentina,3900 [2400 - 5400],4300 [2600 - 5900],4700 [2900 - 6500],5100 [3200 - 7100],5600 [3500 - 7700],6000 [3700 - 8200],6000 [3700 - 8300],6100 [3800 - 8400],6200 [3800 - 8600],6300 [3900 - 8700],6400 [3900 - 8800],6100 [3700 - 8400],7100 [4400 - 9900],7300 [4400 - 10 000],6400 [3800 - 8800],6200 [3700 - 8600],5800 [3500 - 8200],6500 [3900 - 9100],6600 [4000 - 9300],6900 [4100 - 9700],6600 [4000 - 9300],6300 [3700 - 8800],5800 [3400 - 8100],6200 [3700 - 8800],6400 [3800 - 9000]
Armenia,<100 [<100 - <100],<100 [<100 - <1000],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <500],<100 [<100 - <1000],<200 [<100 - <1000],<200 [<100 - <1000],<500 [<100 - 1100],<500 [<200 - 1400],<500 [<500 - 1600],<1000 [<500 - 1500],<1000 [<500 - 1100],<500 [<500 - <1000],<500 [<200 - <1000],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<200 - <1000]
Azerbaijan,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <500],<200 [<100 - <500],<500 [<100 - <1000],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1000],<1000 [<500 - 1100],<1000 [<500 - 1100],<1000 [<1000 - 1200],<1000 [<1000 - 1200],<1000 [<1000 - 1200],<1000 [<1000 - 1200],<1000 [<1000 - 1300]
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,1000 [<1000 - 1100]
Belarus,<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <500],<200 [<100 - <500],<500 [<100 - <1000],<500 [<200 - <1000],<1000 [<500 - 1000],<1000 [<1000 - 1400],1300 [<1000 - 1800],1600 [1200 - 2200],1900 [1400 - 2500],2200 [1700 - 2800],2300 [1800 - 3000],2400 [1800 - 3100],2300 [1800 - 3000],2300 [1800 - 2900],2300 [1800 - 3000],2300 [1800 - 3000],2400 [1900 - 3000],2500 [1900 - 3100],2600 [2000 - 3300],2800 [2200 - 3600],2900 [2200 - 3700],2800 [2100 - 3700],2800 [2000 - 3800]
Belize,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<100 [<100 - <500],<200 [<100 - <500],<500 [<200 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<200 - <500],<200 [<200 - <500],<200 [<200 - <200],<200 [<200 - <200],<200 [<200 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200],<200 [<100 - <200],<100 [<100 - <200],<100 [<100 - <200]
Benin,2900 [2200 - 3600],3600 [2700 - 4400],4200 [3200 - 5100],5000 [4000 - 6000],5700 [4700 - 6700],6300 [5300 - 7500],6700 [5800 - 7900],6900 [6000 - 8100],6800 [5800 - 7800],6700 [5800 - 7700],6600 [5700 - 7500],6500 [5600 - 7400],6400 [5500 - 7200],6200 [5400 - 7100],6100 [5200 - 6900],5900 [5100 - 6800],5700 [4900 - 6600],5500 [4700 - 6400],5000 [4200 - 5900],5300 [4400 - 6400],4700 [3800 - 5800],4600 [3600 - 5700],4300 [3400 - 5500],4200 [3200 - 5400],3800 [2200 - 5300]
Bolivia (Plurinational State of),<200 [<100 - <500],<500 [<200 - <1000],<500 [<200 - <1000],<500 [<500 - <1000],<1000 [<500 - 1300],<1000 [<500 - 2000],<1000 [<1000 - 2800],<1000 [<1000 - 2900],1000 [<1000 - 2800],1100 [<1000 - 2500],1100 [<1000 - 2100],1200 [<1000 - 1900],1300 [<1000 - 1800],1500 [1100 - 2300],1700 [1100 - 2900],1400 [<1000 - 2800],1300 [<1000 - 2700],1400 [<1000 - 3000],1600 [<1000 - 3300],1600 [<1000 - 3400],1600 [<1000 - 3400],1600 [<1000 - 3400],1500 [<1000 - 3200],1400 [<1000 - 3100],1400 [<1000 - 3000]
Botswana,18 000 [16 000 - 19 000],23 000 [22 000 - 25 000],29 000 [27 000 - 31 000],34 000 [32 000 - 36 000],37 000 [35 000 - 40 000],39 000 [37 000 - 41 000],39 000 [37 000 - 41 000],37 000 [36 000 - 40 000],35 000 [34 000 - 37 000],33 000 [31 000 - 34 000],30 000 [28 000 - 31 000],27 000 [25 000 - 28 000],24 000 [23 000 - 25 000],22 000 [21 000 - 23 000],20 000 [19 000 - 21 000],17 000 [16 000 - 18 000],16 000 [15 000 - 17 000],16 000 [15 000 - 17 000],16 000 [15 000 - 17 000],15 000 [14 000 - 16 000],14 000 [13 000 - 15 000],15 000 [13 000 - 16 000],15 000 [13 000 - 16 000],14 000 [12 000 - 15 000],14 000 [12 000 - 15 000]
Brazil,[29 000 - 47 000],[25 000 - 41 000],[23 000 - 39 000],[23 000 - 40 000],[24 000 - 42 000],[25 000 - 44 000],[26 000 - 45 000],[27 000 - 47 000],[28 000 - 48 000],[29 000 - 50 000],[29 000 - 51 000],[30 000 - 52 000],[30 000 - 53 000],[31 000 - 54 000],[31 000 - 55 000],[31 000 - 55 000],[31 000 - 55 000],[31 000 - 56 000],[31 000 - 56 000],[31 000 - 56 000],[31 000 - 57 000],[31 000 - 57 000],[31 000 - 57 000],[31 000 - 58 000],[31 000 - 57 000]
Burkina Faso,28 000 [22 000 - 35 000],27 000 [21 000 - 35 000],26 000 [20 000 - 33 000],23 000 [18 000 - 29 000],20 000 [16 000 - 25 000],18 000 [15 000 - 21 000],15 000 [13 000 - 18 000],13 000 [11 000 - 15 000],11 000 [9000 - 13 000],9300 [7800 - 11 000],8100 [6700 - 9800],7200 [6000 - 8700],6600 [5600 - 8000],6100 [5200 - 7400],5800 [4800 - 6900],5600 [4600 - 6700],5400 [4500 - 6500],5300 [4300 - 6500],5400 [4400 - 6500],5200 [4100 - 6500],5800 [4600 - 7300],5700 [4500 - 7400],5500 [4200 - 7200],5600 [4200 - 7300],5300 [3900 - 7300]
Burundi,10 000 [6300 - 16 000],12 000 [7900 - 17 000],14 000 [10 000 - 18 000],16 000 [12 000 - 20 000],16 000 [13 000 - 20 000],17 000 [15 000 - 21 000],18 000 [15 000 - 21 000],17 000 [15 000 - 20 000],16 000 [14 000 - 19 000],14 000 [12 000 - 16 000],13 000 [11 000 - 15 000],11 000 [9600 - 13 000],10 000 [8500 - 12 000],8600 [7400 - 10 000],7400 [6300 - 8600],6200 [5100 - 7300],5200 [4200 - 6300],4500 [3500 - 5600],3800 [2900 - 4900],3300 [2500 - 4400],2800 [1900 - 3900],2400 [1700 - 3600],2100 [1500 - 3300],1800 [1200 - 2900],1500 [<1000 - 2500]
Cambodia,1000 [<500 - 2800],2900 [1100 - 9400],8000 [3400 - 26 000],15 000 [6600 - 37 000],21 000 [9800 - 43 000],23 000 [12 000 - 47 000],22 000 [11 000 - 42 000],18 000 [10 000 - 33 000],14 000 [8000 - 26 000],12 000 [7000 - 22 000],10 000 [6300 - 18 000],8400 [5300 - 15 000],7100 [4500 - 13 000],6100 [3900 - 11 000],5300 [3400 - 9800],4300 [2800 - 8100],3600 [2300 - 6900],3000 [1800 - 5800],2500 [1500 - 4900],2000 [1200 - 4100],1700 [<1000 - 3500],1300 [<1000 - 2800],1100 [<1000 - 2600],<1000 [<1000 - 2300],<1000 [<500 - 2200]
Cameroon,36 000 [29 000 - 40 000],41 000 [34 000 - 45 000],45 000 [38 000 - 50 000],49 000 [42 000 - 53 000],52 000 [46 000 - 57 000],54 000 [50 000 - 59 000],56 000 [52 000 - 61 000],57 000 [53 000 - 62 000],57 000 [53 000 - 62 000],57 000 [53 000 - 62 000],56 000 [52 000 - 61 000],56 000 [52 000 - 60 000],55 000 [51 000 - 59 000],54 000 [50 000 - 58 000],53 000 [49 000 - 57 000],52 000 [48 000 - 56 000],51 000 [48 000 - 55 000],51 000 [47 000 - 55 000],50 000 [46 000 - 55 000],50 000 [46 000 - 55 000],48 000 [43 000 - 53 000],49 000 [43 000 - 54 000],49 000 [42 000 - 55 000],48 000 [41 000 - 54 000],48 000 [41 000 - 55 000]
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<200 - <500]
Central African Republic,18 000 [14 000 - 26 000],21 000 [16 000 - 30 000],24 000 [18 000 - 33 000],26 000 [20 000 - 36 000],28 000 [21 000 - 36 000],28 000 [22 000 - 35 000],27 000 [22 000 - 32 000],24 000 [21 000 - 28 000],21 000 [19 000 - 24 000],19 000 [17 000 - 21 000],17 000 [14 000 - 18 000],15 000 [12 000 - 16 000],13 000 [11 000 - 14 000],11 000 [9600 - 13 000],10 000 [9000 - 12 000],9600 [8600 - 11 000],9100 [8200 - 10 000],8900 [8100 - 9700],8800 [7900 - 9700],8700 [7800 - 9700],8800 [7800 - 9900],8800 [7700 - 10 000],8700 [7600 - 10 000],8700 [7500 - 10 000],8200 [7000 - 9800]
