"date","virus","City","Province","cum_cases","cum_discharge","severely_ill","cum_death","source"
"01-10-20","corona","WuHan","HuBei",41,2,7,1,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011109035"
"01-11-20","corona","WuHan","HuBei",41,6,7,1,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011209037"
"01-12-20","corona","WuHan","HuBei",41,7,6,1,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011309038"
"01-13-20","corona","WuHan","HuBei",41,7,6,1,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011409039"
"01-14-20","corona","WuHan","HuBei",41,7,6,2,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011509046"
"01-15-20","corona","WuHan","HuBei",41,12,5,2,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011609057"
"01-16-20","corona","WuHan","HuBei",45,15,5,2,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011809064"
"01-17-20","corona","WuHan","HuBei",62,19,8,2,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020011909074"
"01-18-20","corona","WuHan","HuBei",121,NA,NA,3,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020012009077"
"01-19-20","corona","WuHan","HuBei",198,25,44,4,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020012109083"
"01-20-20","corona","WuHan","HuBei",258,25,63,6,"http://wjw.wuhan.gov.cn/front/web/showDetail/2020012109085"
"01-19-20","corona","All","GuangDong",1,0,0,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2876057.html"
"01-20-20","corona","All","GuangDong",14,0,6,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2876926.html"
"01-21-20","corona","All","GuangDong",26,0,10,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2877905.html"
"01-22-20","corona","All","GuangDong",32,0,15,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2878571.html"
"01-20-20","corona","All","HuBei",270,25,63,6,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200121_2013873.shtml"
"01-21-20","corona","WuHan","HuBei",363,28,NA,9,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200122_2014328.shtml"
"01-21-20","corona","All","HuBei",375,28,88,9,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200122_2014328.shtml"
"01-22-20","corona","WuHan","HuBei",425,NA,NA,17,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200123_2014525.shtml"
"01-22-20","corona","All","HuBei",444,28,95,17,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200123_2014525.shtml"
"01-23-20","corona","WuHan","HuBei",495,NA,NA,23,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200124_2014626.shtml"
"01-23-20","corona","All","HuBei",549,31,129,24,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200124_2014626.shtml"
"01-23-20","corona","All","GuangDong",53,2,15,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2878949.html"
"01-24-20","corona","WuHan","HuBei",572,NA,NA,39,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200125_2014856.shtml"
"01-24-20","corona","All","HuBei","729",39,157,39,"http://wjw.hubei.gov.cn/fbjd/tzgg/202001/t20200125_2014856.shtml"
"01-24-20","corona","All","GuangDong",78,2,19,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879063.html"
"01-25-20","corona","All","GuangDong",98,2,23,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879205.html"
"01-25-20","corona","WuHan","HuBei","618",40,NA,45,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200126_2015054.shtml"
"01-25-20","corona","All","HuBei",1052,42,NA,52,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200126_2015054.shtml"
"01-26-20","corona","WuHan","HuBei",698,42,NA,63,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml"
"01-26-20","corona","All","HuBei",1423,44,290,76,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200127_2015306.shtml"
"01-26-20","corona","All","GuangDong",146,2,26,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879365.html"
"01-27-20","corona","WuHan","HuBei",1590,NA,NA,63,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200128_2015611.shtml"
"01-27-20","corona","All","HuBei",2714,47,690,100,"http://wjw.hubei.gov.cn/fbjd/dtyw/202001/t20200128_2015611.shtml"
"01-27-20","corona","All","GuangDong",188,4,29,0,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2879552.html"
